sales_id,date_sk,store_sk,product_sk,customer_sk,promotion_sk,quantity,unit_price,gross_amount,discount_amount,net_amount,payment_method
3,1,3,8,17,,2,7.54,15.08,0.0,15.08,Card
4,1,5,8,33,1.0,1,7.57,7.57,0.76,6.81,Card
7,1,1,1,16,,1,2.41,2.41,0.0,2.41,Card
10,1,4,2,30,1.0,1,3.22,3.22,0.32,2.9,Card
13,1,3,3,16,1.0,1,2.95,2.95,0.3,2.65,Card
14,1,4,2,16,,1,3.17,3.17,0.0,3.17,Card
15,1,1,6,37,,1,184.84,184.84,0.0,184.84,Card
19,1,2,3,29,1.0,1,3.01,3.01,0.3,2.71,Card
20,1,2,8,34,,1,7.4,7.4,0.0,7.4,Card
21,1,3,10,36,,1,453.03,453.03,0.0,453.03,Card
23,1,5,3,13,1.0,2,2.97,5.94,0.59,5.35,Card
25,1,1,4,14,,3,5.51,16.53,0.0,16.53,Card
26,1,5,9,39,,1,8.85,8.85,0.0,8.85,Card
28,1,2,8,38,,1,7.55,7.55,0.0,7.55,Card
30,1,4,4,31,1.0,2,5.44,10.88,1.09,9.79,Card
31,1,3,3,28,1.0,6,2.96,17.759999999999998,1.78,15.98,Card
32,1,5,10,32,,1,426.92,426.92,0.0,426.92,Card
33,1,5,10,37,1.0,1,456.58,456.58,45.66,410.92,Card
34,1,1,8,31,1.0,6,7.33,43.98,4.4,39.58,Card
35,1,5,3,28,1.0,2,2.94,5.88,0.59,5.29,Card
40,1,2,5,21,,1,299.28,299.28,0.0,299.28,Card
41,1,3,3,4,,2,2.94,5.88,0.0,5.88,Card
42,1,3,7,12,,2,24.84,49.68,0.0,49.68,Card
43,1,5,8,2,,6,7.53,45.18,0.0,45.18,Card
44,1,4,4,17,,2,5.44,10.88,0.0,10.88,Card
45,1,5,10,2,1.0,1,459.08,459.08,45.91,413.17,Card
46,1,1,6,16,1.0,1,173.84,173.84,17.38,156.46,Card
47,1,4,3,25,1.0,3,2.96,8.879999999999999,0.89,7.99,Card
51,1,2,9,14,,1,9.15,9.15,0.0,9.15,Card
52,1,2,6,35,1.0,1,180.69,180.69,18.07,162.62,Card
53,2,1,10,22,,1,442.06,442.06,0.0,442.06,Card
54,2,4,4,18,,1,5.45,5.45,0.0,5.45,Card
55,2,1,8,37,1.0,2,7.28,14.56,1.46,13.1,Card
59,2,4,7,12,,1,24.23,24.23,0.0,24.23,Card
60,2,4,4,3,1.0,1,5.58,5.58,0.56,5.02,Card
61,2,2,10,13,1.0,1,443.77,443.77,44.38,399.39,Card
63,2,2,2,11,,2,3.22,6.44,0.0,6.44,Card
66,2,5,4,23,1.0,2,5.7,11.4,1.14,10.26,Card
68,2,5,7,30,1.0,2,25.56,51.12,5.11,46.01,Card
71,2,4,9,27,,1,9.02,9.02,0.0,9.02,Card
73,2,3,10,36,1.0,1,443.59,443.59,44.36,399.23,Card
74,2,1,10,23,1.0,1,460.69,460.69,46.07,414.62,Card
75,2,2,10,23,1.0,1,471.8,471.8,47.18,424.62,Card
77,2,2,6,27,1.0,1,177.8,177.8,17.78,160.02,Card
79,2,4,3,7,1.0,4,2.96,11.84,1.18,10.66,Card
81,2,3,1,14,1.0,3,2.57,7.709999999999999,0.77,6.94,Card
82,2,3,5,10,,1,298.89,298.89,0.0,298.89,Card
